id1,id2,label
281,470,階段
281,482,階段
281,483,階段
281,504,階段
282,283,階段
282,284,階段
282,285,階段
282,287,階段
282,289,階段
282,293,階段
282,295,階段
282,296,階段
282,298,階段
282,300,階段
282,302,階段
282,303,階段
282,310,階段
282,321,階段
282,344,階段
282,364,階段
282,377,階段
282,389,階段
282,401,階段
282,413,階段
282,416,階段
282,421,階段
282,422,階段
282,424,階段
282,426,階段
282,428,階段
282,470,階段
282,482,階段
282,483,階段
282,504,階段
283,284,階段
283,285,階段
283,287,階段
283,289,階段
283,293,階段
283,295,階段
283,296,階段
283,298,階段
283,300,階段
283,302,階段
283,303,階段
283,310,階段
283,321,階段
283,344,階段
283,364,階段
283,377,階段
283,389,階段
283,401,階段
283,413,階段
283,416,階段
283,421,階段
283,422,階段
283,424,階段
283,426,階段
283,428,階段
283,470,階段
283,482,階段
283,483,階段
283,504,階段
284,285,階段
284,287,階段
284,289,階段
284,293,階段
284,295,階段
284,296,階段
284,298,階段
284,300,階段
284,302,階段
284,303,階段
284,310,階段
284,321,階段
284,344,階段
284,364,階段
284,377,階段
284,389,階段
284,401,階段
284,413,階段
284,416,階段
284,421,階段
284,422,階段
284,424,階段
284,426,階段
284,428,階段
284,470,階段
284,482,階段
284,483,階段
284,504,階段
285,287,階段
285,289,階段
285,293,階段
285,295,階段
285,296,階段
285,298,階段
285,300,階段
285,302,階段
285,303,階段
285,310,階段
285,321,階段
285,344,階段
285,364,階段
285,377,階段
285,389,階段
285,401,階段
285,413,階段
285,416,階段
285,421,階段
285,422,階段
285,424,階段
285,426,階段
285,428,階段
285,470,階段
285,482,階段
285,483,階段
285,504,階段
287,289,階段
287,293,階段
287,295,階段
287,296,階段
287,298,階段
287,300,階段
287,302,階段
287,303,階段
287,310,階段
287,321,階段
287,344,階段
287,364,階段
287,377,階段
287,389,階段
287,401,階段
287,413,階段
287,416,階段
287,421,階段
287,422,階段
287,424,階段
287,426,階段
287,428,階段
287,470,階段
287,482,階段
287,483,階段
287,504,階段
289,293,階段
289,295,階段
289,296,階段
289,298,階段
289,300,階段
289,302,階段
289,303,階段
289,310,階段
289,321,階段
289,344,階段
289,364,階段
