base_id,target_id,similarity
77,66,80.48165411618885
77,195,80.74942800242873
77,255,93.60385269933744
77,309,103.5894340282309
77,271,127.65527568618074
77,315,162.18168149343924
77,5,170.96818824743235
77,112,185.77555732633186
77,314,191.24988875097011
77,28,201.5220970865061
112,28,28.13982292973071
112,260,67.6057416317216
112,195,67.62523085997233
112,314,70.55676368891095
112,135,79.01273106623917
112,271,80.80207966971635
112,77,113.6647533069101
112,66,128.5583488010667
112,315,153.42191789930297
112,309,169.49820916928334
112,13,180.5937173080307
112,5,197.6859667983251
112,176,202.37332264682348
112,124,216.61563593908252
112,255,239.70565033896042
176,255,44.557702095205485
176,314,91.32848276870068
176,260,97.678341048534
176,135,128.2274739885599
176,271,131.76516283955124
176,315,155.96611462680343
176,66,166.75078594440015
176,195,177.97494388742734
176,13,179.41983000091386
176,28,180.28514062945533
176,309,189.7513638885607
176,77,198.68342921465444
176,112,222.90865590990157
176,5,313.85083022029954
176,124,354.7652531937343
309,5,83.87785610517376
309,255,116.79190877620701
309,66,166.75855643862107
309,77,174.62440823746198
309,314,196.59194963271017
309,260,203.33491008500084
309,315,225.01719784242
309,271,230.76299613668422
309,176,238.89310425444785
309,195,241.4496826372848
309,124,269.1573114695796
309,28,276.9416857515672
309,112,395.31452574494875
309,13,402.0693831615242
309,135,433.0395755925376
314,77,52.955428694504015
314,260,53.11332908071193
314,112,58.2489042754059
314,271,61.046558791871504
314,28,79.80160498821718
314,66,100.07211106342686
314,309,106.971773518271
314,195,108.02692730488089
314,135,122.98989586044543
314,5,130.17705950996827
314,315,131.78461826885984
314,13,143.16833334731479
314,124,147.18941543544352
314,255,204.76841953161153
314,176,215.2253466812225
315,28,45.985366311703324
315,13,48.29097349491087
315,271,50.102159119702776
315,195,58.62583218055681
315,255,72.29675160108373
315,260,74.40179722939472
315,5,76.66584878560549
315,314,76.68638726490913
315,66,98.09906532876428
315,135,105.48419325960283
315,124,119.17697415593994
315,176,120.99046951465058
315,77,124.29926507873952
315,112,160.96770654894073
315,309,243.05221392054983
124,195,38.524518837512495
124,260,39.789951376915376
124,13,45.674095976659885
124,255,52.02173581971147
124,309,61.95091092728904
124,135,66.2805834964935
124,176,71.84006920200939
124,77,82.43379909955861
124,271,98.1507600190157
124,66,110.79559434796086
124,314,146.14759152538537
124,5,163.29168009313526
124,28,188.16629375121602
124,315,206.05727371177238
124,112,220.77206742485848
255,135,27.981463673312945
255,195,46.68242054889433
255,5,48.75258852707574
255,124,53.63370401087782
255,314,95.75436044753901
255,13,103.99113207774724
255,77,110.55300792457425
255,260,117.26354009413896
255,66,122.05256129049987
255,315,128.00880044623625
255,28,137.25442174158695
255,271,145.6133425962099
255,176,151.8728500872574
255,112,154.45051728030876
255,309,281.27280790606125
